pueblo,sano,infectado,inmune,fallecido
0,4,0,886,111
1,7,0,877,117
2,0,0,888,113
3,1,0,886,114
4,8,0,889,104
5,1,0,905,95
6,3,0,903,95
7,7,0,890,104
8,1,0,893,107
9,3,0,901,97
10,13,0,873,115
11,1,0,899,101
12,5,0,885,111
13,3,0,909,89
14,6,0,893,102
15,6,0,894,101
16,5,0,892,104
17,5,0,873,123
18,2,0,886,113
19,6,0,890,105
20,3,0,877,121
21,4,0,907,90
22,8,0,908,85
23,4,0,901,96
24,1000,0,0,1
25,5,0,898,98
26,1,0,895,105
27,4,0,895,102
28,5,0,885,111
29,4,0,899,98
30,0,0,916,85
31,3,0,879,119
32,6,0,895,100
33,3,0,922,76
34,2,0,919,80
35,16,0,882,103
36,8,0,892,101
37,9,0,868,124
38,0,0,897,104
39,2,0,901,98
40,6,0,906,89
41,6,0,908,87
42,4,0,900,97
43,6,0,881,114
44,5,0,885,111
45,8,0,883,110
46,2,0,910,89
47,1000,0,0,1
48,4,0,888,109
49,7,0,908,86
50,1,0,902,98
51,3,0,886,112
52,7,0,884,110
53,3,0,899,99
54,5,0,889,107
55,1,0,898,102
56,4,0,913,84
57,2,0,891,108
58,6,0,888,107
59,3,0,873,125
60,32,0,861,108
61,4,0,887,110
62,5,0,902,94
63,4,0,887,110
64,2,0,906,93
65,3,0,900,98
66,21,0,877,103
67,17,0,888,96
68,6,0,913,82
69,4,0,875,122
70,2,0,915,84
71,2,0,893,106
72,6,0,885,110
73,2,0,903,96
74,21,0,862,118
75,14,0,886,101
76,0,0,920,81
77,0,0,875,126
78,9,0,906,86
79,14,0,892,95
80,1,0,905,95
81,1,0,908,92
82,1,0,891,109
83,8,0,885,108
84,3,0,898,100
85,1,0,899,101
86,6,0,904,91
87,6,0,890,105
88,4,0,889,108
89,5,0,880,116
90,7,0,901,93
91,2,0,893,106
92,2,0,905,94
93,5,0,892,104
94,8,0,894,99
95,1,0,900,100
96,8,0,897,96
97,1,0,898,102
98,9,0,886,106
99,8,0,885,108
100,18,0,890,93
101,15,0,891,95
102,4,0,905,92
103,2,0,903,96
104,3,0,894,104
105,2,0,896,103
106,1,0,890,110
107,9,0,884,108
108,6,0,904,91
109,10,0,901,90
110,3,0,902,96
111,1,0,903,97
112,6,0,904,91
113,9,0,877,115
114,1,0,905,95
115,2,0,916,83
116,3,0,897,101
117,7,0,873,121
118,1,0,903,97
119,27,0,871,103
120,6,0,889,106
121,4,0,892,105
122,3,0,899,99
123,3,0,887,111
124,13,0,902,86
125,9,0,881,111
126,22,0,867,112
127,7,0,889,105
128,6,0,895,100
129,2,0,895,104
130,7,0,892,102
131,9,0,887,105
132,3,0,882,116
133,4,0,894,103
134,4,0,898,99
135,5,0,900,96
136,2,0,890,109
137,13,0,880,108
138,1,0,904,96
139,5,0,883,113
140,9,0,886,106
141,1,0,897,103
142,13,0,872,116
143,2,0,888,111
144,26,0,874,101
145,1,0,909,91
146,6,0,891,104
147,5,0,903,93
148,4,0,885,112
149,6,0,892,103
150,3,0,903,95
151,5,0,902,94
152,7,0,872,122
153,1,0,892,108
154,2,0,906,93
155,2,0,887,112
156,5,0,889,107
157,4,0,900,97
158,0,0,894,107
159,2,0,910,89
160,6,0,892,103
161,5,0,894,102
162,3,0,895,103
163,4,0,877,120
164,0,0,896,105
165,7,0,890,104
166,14,0,882,105
167,2,0,910,89
168,4,0,886,111
169,7,0,871,123
170,4,0,885,112
171,1,0,884,116
172,5,0,901,95
173,3,0,912,86
174,2,0,896,103
175,7,0,897,97
176,6,0,903,92
177,1,0,899,101
178,9,0,882,110
179,4,0,883,114
180,12,0,881,108
181,3,0,886,112
182,6,0,889,106
183,4,0,900,97
184,9,0,881,111
185,3,0,887,111
186,2,0,879,120
187,6,0,898,97
188,4,0,896,101
189,5,0,891,105
190,5,0,886,110
191,0,0,887,114
192,8,0,893,100
193,2,0,915,84
194,4,0,903,94
195,6,0,903,92
196,5,0,892,104
197,2,0,893,106
198,5,0,901,95
199,2,0,892,107
