pueblo,sano,infectado,inmune,fallecido
0,953,0,42,6
1,743,0,241,17
2,1000,0,1,0
3,802,0,178,21
4,888,0,102,11
5,999,0,1,1
6,980,0,19,2
7,995,0,5,1
8,808,0,177,16
9,740,0,235,26
10,870,0,121,10
11,997,0,3,1
12,703,0,267,31
13,903,0,86,12
14,979,0,20,2
15,685,0,288,28
16,919,0,75,7
17,1000,0,1,0
18,998,0,2,1
19,859,0,130,12
20,830,0,154,17
21,943,0,50,8
22,821,0,161,19
23,880,0,108,13
24,836,0,151,14
25,1000,0,0,1
26,857,0,125,19
27,985,0,15,1
28,992,0,9,0
29,1000,0,1,0
30,928,0,62,11
31,670,0,300,31
32,963,0,34,4
33,996,0,5,0
34,846,0,141,14
35,1000,0,0,1
36,789,0,187,25
37,999,0,2,0
38,1000,0,1,0
39,852,0,138,11
40,875,0,113,13
41,667,0,302,32
42,954,0,43,4
43,1000,0,0,1
44,780,0,202,19
45,714,0,247,40
46,990,0,10,1
47,728,0,255,18
48,974,0,26,1
49,461,0,495,45
50,833,0,147,21
51,982,0,17,2
52,819,0,167,15
53,996,0,3,2
54,818,0,164,19
55,837,0,147,17
56,1000,0,1,0
57,716,0,251,34
58,1000,0,1,0
59,1000,0,1,0
60,624,0,341,36
61,651,0,319,31
62,780,0,201,20
63,689,0,279,33
64,981,0,18,2
65,917,0,69,15
66,945,0,54,2
67,906,0,84,11
68,928,0,68,5
69,946,0,49,6
70,1000,0,1,0
71,997,0,4,0
72,889,0,103,9
73,730,0,246,25
74,1000,0,1,0
75,804,0,179,18
76,487,0,467,47
77,858,0,131,12
78,858,0,134,9
79,995,0,4,2
80,851,0,136,14
81,889,0,100,12
82,816,0,159,26
83,817,0,169,15
84,490,0,456,55
85,960,0,39,2
86,1000,0,1,0
87,999,0,1,1
88,994,0,6,1
89,996,0,4,1
90,1000,0,1,0
91,957,0,38,6
92,999,0,2,0
93,1000,0,1,0
94,913,0,77,11
95,957,0,41,3
96,918,0,76,7
97,965,0,35,1
98,658,0,310,33
99,998,0,3,0
100,941,0,59,1
101,947,0,50,4
102,1000,0,1,0
103,825,0,160,16
104,724,0,250,27
105,1000,0,1,0
106,879,0,111,11
107,978,0,21,2
108,706,0,259,36
109,1000,0,0,1
110,1000,0,1,0
111,762,0,219,20
112,948,0,48,5
113,914,0,77,10
114,590,0,367,44
115,856,0,132,13
116,844,0,145,12
117,799,0,182,20
118,995,0,4,2
119,962,0,33,6
120,924,0,72,5
121,678,0,294,29
122,953,0,42,6
123,723,0,254,24
124,687,0,278,36
125,894,0,99,8
126,788,0,192,21
127,861,0,133,7
128,931,0,63,7
129,1000,0,1,0
130,962,0,36,3
131,663,0,300,38
132,999,0,2,0
133,1000,0,1,0
134,1000,0,1,0
135,998,0,3,0
136,703,0,264,34
137,978,0,18,5
138,942,0,53,6
139,903,0,89,9
140,930,0,69,2
141,973,0,24,4
142,850,0,134,17
143,1000,0,1,0
144,874,0,114,13
145,763,0,212,26
146,988,0,12,1
147,972,0,26,3
148,981,0,18,2
149,961,0,39,1
150,999,0,2,0
151,916,0,73,12
152,966,0,29,6
153,994,0,6,1
154,998,0,3,0
155,1000,0,1,0
156,1000,0,1,0
157,754,0,225,22
158,821,0,154,26
159,998,0,2,1
160,836,0,149,16
161,662,0,298,41
162,1000,0,0,1
163,896,0,91,14
164,905,0,85,11
165,1000,0,1,0
166,925,0,60,16
167,833,0,152,16
168,995,0,5,1
169,791,0,190,20
170,999,0,2,0
171,637,0,330,34
172,892,0,98,11
173,728,0,247,26
174,1000,0,0,1
175,770,0,203,28
176,978,0,22,1
177,896,0,87,18
178,936,0,59,6
179,996,0,5,0
180,930,0,63,8
181,428,0,506,67
182,820,0,162,19
183,780,0,202,19
184,992,0,8,1
185,732,0,240,29
186,782,0,194,25
187,820,0,161,20
188,841,0,149,11
189,979,0,21,1
190,1000,0,1,0
191,782,0,194,25
192,963,0,33,5
193,999,0,2,0
194,918,0,74,9
195,856,0,135,10
196,999,0,2,0
197,732,0,241,28
198,981,0,16,4
199,926,0,65,10
