pueblo,sano,infectado,inmune,fallecido
0,10,0,820,86
1,0,0,824,92
2,8,0,832,76
3,3,0,851,62
4,6,0,826,84
5,4,0,825,87
6,3,0,832,81
7,21,0,822,73
8,24,0,803,89
9,16,0,818,82
10,3,0,837,76
11,10,0,828,78
12,18,0,816,82
13,3,0,833,80
14,5,0,837,74
15,32,0,801,83
16,14,0,828,74
17,6,0,824,86
18,6,0,825,85
19,5,0,813,98
20,21,0,833,62
21,9,0,827,80
22,21,0,823,72
23,11,0,825,80
24,7,0,816,93
25,6,0,817,93
26,52,0,785,79
27,5,0,834,77
28,6,0,838,72
29,29,0,805,82
30,10,0,814,92
31,7,0,822,87
32,7,0,848,61
33,5,0,824,87
34,10,0,839,67
35,4,0,818,94
36,4,0,812,100
37,15,0,826,75
38,2,0,843,71
39,6,0,827,83
40,16,0,818,82
41,9,0,812,95
42,12,0,789,115
43,1,0,834,81
44,18,0,810,88
45,7,0,831,78
46,5,0,829,82
47,11,0,809,96
48,15,0,808,93
49,10,0,822,84
50,16,0,823,77
51,13,0,820,83
52,7,0,833,76
53,3,0,816,97
54,15,0,808,93
55,15,0,811,90
56,1,0,823,92
57,11,0,809,96
58,5,0,821,90
59,21,0,811,84
60,11,0,831,74
61,37,0,798,81
62,10,0,816,90
63,6,0,816,94
64,9,0,827,80
65,15,0,814,87
66,1,0,826,89
67,6,0,832,78
68,15,0,819,82
69,4,0,832,80
70,6,0,831,79
71,28,0,808,80
72,4,0,830,82
73,26,0,805,85
74,5,0,821,90
75,3,0,827,86
76,13,0,816,87
77,6,0,833,77
78,2,0,818,96
79,7,0,828,81
80,5,0,830,81
81,16,0,804,96
82,16,0,806,94
83,5,0,822,89
84,23,0,818,75
85,6,0,843,67
86,3,0,839,74
87,11,0,836,69
88,4,0,821,91
89,15,0,815,86
90,10,0,821,85
91,6,0,807,103
92,9,0,827,80
93,7,0,822,87
94,16,0,802,98
95,15,0,817,84
96,17,0,794,105
97,14,0,826,76
98,8,0,818,90
99,5,0,815,96
100,5,0,820,91
101,15,0,798,103
102,14,0,819,83
103,19,0,807,90
104,29,0,816,71
105,3,0,844,69
106,5,0,823,88
107,10,0,820,86
108,27,0,780,109
109,7,0,829,80
110,5,0,826,85
111,9,0,824,83
112,6,0,827,83
113,7,0,832,77
114,19,0,806,91
115,17,0,828,71
116,6,0,828,82
117,8,0,839,69
118,14,0,811,91
119,5,0,820,91
120,6,0,817,93
121,5,0,813,98
122,8,0,824,84
123,23,0,821,72
124,7,0,826,83
125,15,0,797,104
126,9,0,824,83
127,5,0,832,79
128,10,0,826,80
129,14,0,829,73
130,3,0,838,75
131,3,0,828,85
132,48,0,788,80
133,31,0,793,92
134,1,0,827,88
135,9,0,816,91
136,3,0,834,79
137,10,0,817,89
138,2,0,831,83
139,1,0,829,86
140,4,0,829,83
141,12,0,816,88
142,10,0,804,102
143,10,0,826,80
144,2,0,820,94
145,24,0,803,89
146,11,0,831,74
147,4,0,830,82
148,5,0,838,73
149,4,0,829,83
150,9,0,829,78
151,64,0,767,85
152,5,0,824,87
153,16,0,827,73
154,10,0,812,94
155,7,0,824,85
156,4,0,829,83
157,5,0,838,73
158,5,0,819,92
159,19,0,803,94
160,34,0,800,82
161,4,0,812,100
162,18,0,811,87
163,0,0,809,107
164,15,0,829,72
165,14,0,819,83
166,48,0,794,74
167,0,0,836,80
168,13,0,823,80
169,13,0,818,85
170,4,0,816,96
171,9,0,817,90
172,19,0,809,88
173,15,0,821,80
174,9,0,832,75
175,7,0,814,95
176,3,0,832,81
177,14,0,821,81
178,4,0,823,89
179,8,0,839,69
180,3,0,832,81
181,11,0,801,104
182,6,0,834,76
183,25,0,810,81
184,0,0,813,103
185,3,0,831,82
186,915,0,0,1
187,5,0,815,96
188,7,0,828,81
189,7,0,832,77
190,7,0,826,83
191,10,0,825,81
192,15,0,838,63
193,11,0,816,89
194,15,0,825,76
195,9,0,813,94
196,23,0,807,86
197,5,0,826,85
198,10,0,828,78
199,20,0,799,97
