puntuacion,Truco,kRe_V,kRe_W,Ret-,segm1,segm3,segm5,kTr_V,kTr_W,RetΔ,segm2,segm4,segm6,WMAX,ID
27.2354381,False,0.750,0.050,1.30,0.122,2.801,3.244,0.850,0.020,1.50,5.401,8.093,7.575,2.00,1
27.6340148,False,0.750,0.053,1.35,0.126,2.118,4.098,0.850,0.020,1.50,5.500,8.115,7.677,2.00,2
27.7617193,False,0.750,0.053,1.40,0.132,1.998,4.025,0.850,0.020,1.50,5.569,8.327,7.712,2.00,3
28.3445086,False,0.750,0.055,1.45,0.122,1.835,4.553,0.850,0.020,1.50,5.634,8.378,7.822,2.00,4
29.5804981,False,0.750,0.055,1.50,0.128,1.674,5.625,0.850,0.020,1.50,5.731,8.524,7.899,2.00,5
29.4028493,False,0.750,0.055,1.55,0.133,1.861,4.998,0.850,0.020,1.50,5.765,8.627,8.018,2.00,6
28.8122088,False,0.650,0.057,1.50,0.114,1.435,5.124,0.850,0.020,1.50,5.698,8.575,7.866,2.00,7
29.6502567,False,0.750,0.055,1.50,0.144,1.318,6.469,0.900,0.025,1.50,5.557,8.364,7.799,2.00,8
28.4823384,False,0.750,0.055,1.50,0.128,1.961,4.169,0.900,0.020,1.50,5.725,8.574,7.925,2.00,9
27.3137855,False,0.750,0.055,1.50,0.126,2.485,2.240,0.900,0.015,1.50,5.785,8.793,7.885,2.00,10
27.6032879,False,0.750,0.055,1.50,0.131,2.664,2.146,0.950,0.015,1.50,5.829,8.879,7.954,2.00,11
30.5210126,False,0.750,0.055,1.50,0.139,1.210,5.067,1.000,0.015,1.20,6.228,9.359,8.518,2.00,12
41.8970752,False,0.750,0.055,1.50,0.130,0.814,16.03,1.000,0.015,1.00,6.430,9.644,8.844,2.00,13
35.6764837,False,0.750,0.055,1.50,0.139,0.742,9.150,1.100,0.015,0.90,6.622,9.884,9.139,2.00,14
46.02initΔ,False,0.750,0.055,1.50,0.135,0.837,20.21,1.000,0.015,1.00,6.405,9.654,8.772,2.00,15
43.7327264,False,0.750,0.055,1.50,0.132,0.862,17.85,1.000,0.015,1.00,6.427,9.662,8.797,2.50,16
38.1518873,False,0.750,0.055,1.50,0.133,0.820,12.18,1.000,0.015,1.00,6.480,9.689,8.843,1.50,17
43.9435189,False,0.750,0.055,1.50,0.125,0.806,18.09,1.000,0.015,1.00,6.426,9.698,8.795,2.25,18
39.0069124,False,0.750,0.055,1.50,0.128,0.845,13.17,1.000,0.015,1.00,6.409,9.637,8.816,1.85,19
